Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-02-28,JSWSTEEL,EQ,598.6,591.5,629.8,590.2,626.0,627.45,618.38,7142843,441698748314999.94,97301,1514904,0.2121
2022-03-02,JSWSTEEL,EQ,627.45,625.0,654.0,622.15,641.15,644.6,642.76,8894940,571730109635000.0,132221,1938820,0.218
2022-03-03,JSWSTEEL,EQ,644.6,650.5,662.5,649.3,654.6,654.7,654.98,5940599,389099223430000.0,86282,1507810,0.25379999999999997
2022-03-04,JSWSTEEL,EQ,654.7,654.7,660.4,628.7,632.15,631.95,643.58,7605400,489470975010000.06,88881,2387028,0.3139
2022-03-07,JSWSTEEL,EQ,631.95,630.0,643.0,622.5,634.15,637.15,631.74,5507113,347905382700000.0,75487,1457837,0.2647
2022-03-08,JSWSTEEL,EQ,637.15,639.95,639.95,613.1,628.55,629.85,625.04,5422987,338958389150000.0,83677,1655355,0.3052
2022-03-09,JSWSTEEL,EQ,629.85,629.0,634.25,618.0,627.75,627.15,626.11,3784214,236932869015000.0,65716,928624,0.2454
2022-03-10,JSWSTEEL,EQ,627.15,632.0,652.15,624.0,648.5,650.75,640.92,5201836,333394623935000.0,82271,935881,0.17989999999999998
2022-03-11,JSWSTEEL,EQ,650.75,648.5,673.0,647.2,667.8,669.75,665.6,8172290,543949836635000.06,109109,1959820,0.2398
2022-03-14,JSWSTEEL,EQ,669.75,667.0,673.0,658.6,664.0,664.85,664.86,2529995,168208435215000.0,47843,402266,0.159
2022-03-15,JSWSTEEL,EQ,664.85,659.0,660.8,635.0,640.8,641.15,645.57,4754984,306968062770000.0,87451,1362528,0.2865
2022-03-16,JSWSTEEL,EQ,641.15,648.65,662.75,647.5,655.7,655.25,654.78,3150421,206284737975000.0,46170,723242,0.22960000000000003
2022-03-17,JSWSTEEL,EQ,655.25,662.0,692.95,660.35,684.0,685.1,682.58,9991824,682025310675000.0,117560,2498208,0.25
2022-03-21,JSWSTEEL,EQ,685.1,689.7,699.0,679.0,679.3,681.3,689.69,4609771,317932419150000.0,66683,846488,0.18359999999999999
2022-03-22,JSWSTEEL,EQ,681.3,678.85,699.9,677.45,695.0,696.5,689.93,4811589,331967708880000.0,70059,1167616,0.2427
2022-03-23,JSWSTEEL,EQ,696.5,702.9,710.0,692.25,702.0,704.4,702.86,8964532,630085565840000.0,112125,2267642,0.253
2022-03-24,JSWSTEEL,EQ,704.4,704.5,719.5,704.2,715.0,715.1,714.18,6069039,433436178235000.06,82159,1879569,0.3097
2022-03-25,JSWSTEEL,EQ,715.1,718.0,726.5,710.25,719.0,721.35,719.64,16121868,1160187372905000.0,135899,7327868,0.4545
2022-03-28,JSWSTEEL,EQ,721.35,722.0,731.45,718.15,730.0,730.1,726.41,8935680,649095822690000.0,105381,4079442,0.4565
2022-03-29,JSWSTEEL,EQ,730.1,731.5,764.75,726.65,751.2,753.9,744.65,7285191,542494449160000.06,90562,2111198,0.2898
2022-03-30,JSWSTEEL,EQ,753.9,750.0,750.7,714.95,719.05,717.55,728.13,5994838,436502601120000.0,91104,1699313,0.28350000000000003
2022-03-31,JSWSTEEL,EQ,717.55,724.0,737.5,720.55,733.6,732.65,730.66,5946576,434492067489999.94,75018,1604529,0.2698
2022-04-01,JSWSTEEL,EQ,732.65,735.0,749.95,728.5,732.45,732.2,737.47,5079937,374631550425000.0,73351,1518384,0.2989
2022-04-04,JSWSTEEL,EQ,732.2,732.5,738.0,726.8,731.35,732.7,733.12,4901374,359329347460000.0,56764,1791529,0.3655
2022-04-05,JSWSTEEL,EQ,732.7,737.9,746.0,730.15,733.65,733.45,736.89,3524949,259750646400000.0,64211,730020,0.2071
2022-04-06,JSWSTEEL,EQ,733.45,730.5,746.5,729.8,737.95,737.4,739.66,4111360,304099548040000.0,64950,587911,0.14300000000000002
2022-04-07,JSWSTEEL,EQ,737.4,735.0,742.75,725.75,728.55,728.05,733.56,2954985,216766590369999.97,55278,723704,0.24489999999999998
2022-04-08,JSWSTEEL,EQ,728.05,734.45,762.05,731.2,756.3,756.6,750.83,8125253,610071176245000.0,118261,2473835,0.3045
2022-04-11,JSWSTEEL,EQ,756.6,756.0,775.0,756.0,766.0,767.4,767.4,7926472,608273675505000.0,105859,2539301,0.3204
2022-04-12,JSWSTEEL,EQ,767.4,769.4,773.75,738.15,754.5,755.9,751.04,8595936,645592775225000.0,101124,2903209,0.33770000000000006
2022-04-13,JSWSTEEL,EQ,755.9,760.0,781.1,760.0,764.45,766.35,769.22,6722613,517115232235000.06,110315,1812075,0.2695
2022-04-18,JSWSTEEL,EQ,766.35,764.0,775.85,758.4,768.0,767.85,767.63,5866740,450347786310000.06,88667,2149059,0.3663
2022-04-19,JSWSTEEL,EQ,767.85,772.7,790.0,736.1,740.4,746.4,773.7,7301285,564896793190000.0,113702,1300589,0.17809999999999998
2022-04-20,JSWSTEEL,EQ,746.4,758.0,758.0,732.5,739.2,738.85,745.84,4679947,349049396710000.0,77039,813488,0.17379999999999998
2022-04-21,JSWSTEEL,EQ,738.85,744.0,747.25,725.5,737.25,734.2,733.14,3995936,292956408035000.0,63853,829820,0.2077
2022-04-22,JSWSTEEL,EQ,734.2,730.0,737.0,722.05,724.5,723.4,728.8,2244262,163561494675000.0,47440,403367,0.1797
2022-04-25,JSWSTEEL,EQ,723.4,711.0,719.5,695.25,716.95,715.7,708.23,4935672,349559263655000.0,63758,1059504,0.2147
2022-04-26,JSWSTEEL,EQ,715.7,722.35,724.3,713.05,721.05,721.2,719.66,3260695,234658571555000.03,46193,889533,0.27280000000000004
2022-04-27,JSWSTEEL,EQ,721.2,713.0,734.2,711.0,719.1,720.6,720.44,3391522,244337521550000.0,43349,946213,0.27899999999999997
2022-04-28,JSWSTEEL,EQ,720.6,729.85,734.25,722.65,726.35,729.1,728.94,4079934,297400690705000.0,45206,1761546,0.4318
2022-04-29,JSWSTEEL,EQ,729.1,731.1,740.0,723.3,726.25,727.15,733.38,3622889,265695985325000.0,44011,1366950,0.37729999999999997
2022-05-02,JSWSTEEL,EQ,727.15,720.0,734.2,709.05,731.0,731.95,722.68,2802163,202507589375000.0,47219,827943,0.29550000000000004
2022-05-04,JSWSTEEL,EQ,731.95,734.0,736.0,708.05,711.6,711.55,722.47,3011231,217551563540000.0,50058,942689,0.3131
2022-05-05,JSWSTEEL,EQ,711.55,720.0,726.4,705.1,707.95,707.75,717.37,3131221,224623936300000.0,42734,1131160,0.3613
2022-05-06,JSWSTEEL,EQ,707.75,695.4,700.9,680.65,692.55,690.4,689.04,3930624,270835896750000.0,67399,981670,0.2497
2022-05-09,JSWSTEEL,EQ,690.4,681.0,686.1,668.1,678.85,678.35,676.15,3380947,228603191280000.03,43322,906028,0.268
2022-05-10,JSWSTEEL,EQ,678.35,674.0,677.0,643.1,643.45,645.3,661.23,4293241,283881570900000.0,76989,1413094,0.32909999999999995
2022-05-11,JSWSTEEL,EQ,645.3,644.5,658.0,635.35,649.6,648.95,645.16,4158341,268279849880000.03,69523,1022160,0.2458
2022-05-12,JSWSTEEL,EQ,648.95,647.7,651.55,620.0,624.6,624.8,630.66,4123927,260078746760000.0,66935,1398793,0.3392
2022-05-13,JSWSTEEL,EQ,624.8,634.05,637.0,594.15,597.55,600.45,618.05,5567335,344089323835000.0,88418,1824212,0.32770000000000005
2022-05-16,JSWSTEEL,EQ,600.45,616.0,626.7,599.05,605.0,602.3,613.04,4641172,284521512210000.0,83890,664139,0.1431
2022-05-17,JSWSTEEL,EQ,602.3,610.0,645.8,609.15,640.5,641.85,630.37,6309092,397706105130000.0,106267,1810693,0.287
2022-05-18,JSWSTEEL,EQ,641.85,642.95,644.9,628.0,631.1,631.05,636.07,4941565,314318265770000.0,71926,1755379,0.3552
2022-05-19,JSWSTEEL,EQ,631.05,619.0,624.95,592.05,601.5,600.2,603.49,5816509,351021305915000.0,76779,1971438,0.33890000000000003
2022-05-20,JSWSTEEL,EQ,600.2,621.0,634.3,616.7,630.9,631.1,627.79,6187868,388468966355000.0,92866,1287724,0.20809999999999998
2022-05-23,JSWSTEEL,EQ,631.1,594.0,594.0,537.5,547.75,547.55,554.41,17554373,973230466735000.0,270537,4245225,0.24180000000000001
2022-05-24,JSWSTEEL,EQ,547.55,548.95,556.4,537.25,538.85,539.7,548.43,7517949,412310504950000.0,93559,2132364,0.2836
2022-05-25,JSWSTEEL,EQ,539.7,541.9,545.0,521.0,528.85,528.45,531.6,4725882,251226082660000.0,71794,635074,0.1344
2022-05-26,JSWSTEEL,EQ,528.45,530.5,555.7,520.05,552.35,551.7,539.87,8178844,441550060689999.94,103884,1462499,0.1788
2022-05-27,JSWSTEEL,EQ,551.7,558.0,561.3,539.4,548.55,548.4,548.39,5193961,284831031085000.0,73071,896571,0.17260000000000003
2022-05-30,JSWSTEEL,EQ,548.4,530.0,544.75,525.6,537.7,538.85,537.59,12211769,656495936495000.0,173709,2362308,0.19340000000000002
2022-05-31,JSWSTEEL,EQ,538.85,537.6,558.3,532.2,555.25,551.25,549.82,20152169,1108003754279999.9,126257,10700860,0.531
2022-06-01,JSWSTEEL,EQ,551.25,554.05,572.35,549.2,570.9,569.5,564.47,8495547,479550118085000.06,108201,1686076,0.1985
2022-06-02,JSWSTEEL,EQ,569.5,570.9,575.0,557.65,573.0,573.4,566.69,7010273,397263202270000.0,95904,1611023,0.2298
2022-06-03,JSWSTEEL,EQ,573.4,576.0,581.95,559.55,562.9,562.45,568.79,6367536,362178075655000.0,71019,2263927,0.3555
2022-06-06,JSWSTEEL,EQ,562.45,553.0,583.25,553.0,577.6,579.0,573.28,10383944,595286031605000.0,104913,3109789,0.2995
2022-06-07,JSWSTEEL,EQ,579.0,575.0,579.45,567.1,571.1,572.1,572.21,3735461,213746649965000.0,51181,1033820,0.2768
2022-06-08,JSWSTEEL,EQ,572.1,573.6,583.0,572.2,573.0,576.15,577.58,4138705,239041769575000.0,58120,949575,0.22940000000000002
2022-06-09,JSWSTEEL,EQ,576.15,570.0,575.7,564.0,572.0,572.2,570.35,3922515,223719770030000.03,53396,700318,0.17850000000000002
2022-06-10,JSWSTEEL,EQ,572.2,565.0,574.0,561.35,572.25,572.5,569.29,3374125,192084108830000.0,44409,632292,0.18739999999999998
2022-06-13,JSWSTEEL,EQ,572.5,563.1,567.95,555.0,564.0,564.0,563.17,4071346,229285222055000.03,54905,1049742,0.25780000000000003
2022-06-14,JSWSTEEL,EQ,564.0,562.8,576.8,560.15,563.45,561.9,567.72,3413396,193786298840000.0,49334,645526,0.18910000000000002
2022-06-15,JSWSTEEL,EQ,561.9,562.1,569.0,557.05,563.05,563.0,562.61,3803101,213966459690000.0,48640,1111206,0.2922
2022-06-16,JSWSTEEL,EQ,563.0,571.5,571.5,544.45,546.0,545.85,555.92,4899759,272385842769999.97,59413,1570982,0.32060000000000005
2022-06-17,JSWSTEEL,EQ,545.85,540.1,561.7,539.7,557.35,554.6,554.01,6776372,375417932510000.0,78476,1815089,0.26789999999999997
2022-06-20,JSWSTEEL,EQ,554.6,550.6,554.6,536.1,551.7,550.35,544.12,5614520,305498164685000.0,68982,1039666,0.1852
2022-06-21,JSWSTEEL,EQ,550.35,556.0,580.8,552.7,574.9,576.2,568.9,4657829,264984065755000.03,51994,664277,0.1426
2022-06-22,JSWSTEEL,EQ,576.2,567.25,569.9,542.5,551.4,550.4,551.83,8511658,469700795535000.06,80741,2250788,0.2644
2022-06-23,JSWSTEEL,EQ,550.4,550.0,565.5,548.0,558.45,558.95,557.28,5037690,280741894690000.0,55146,975506,0.2349
2022-06-24,JSWSTEEL,EQ,558.95,561.7,572.9,560.25,568.3,567.8,567.32,3406061,193231691425000.0,45159,544179,0.1598
2022-06-27,JSWSTEEL,EQ,567.8,575.7,588.5,570.05,571.0,571.65,581.16,6550599,380695643375000.0,73187,1148675,0.1754
2022-06-28,JSWSTEEL,EQ,571.65,573.45,580.55,568.0,579.9,578.4,575.19,4285360,246488816744999.97,53192,722555,0.1686
2022-06-29,JSWSTEEL,EQ,578.4,573.5,581.15,569.15,572.5,576.05,576.77,3334027,192295824845000.0,46971,824611,0.24730000000000002
2022-06-30,JSWSTEEL,EQ,576.05,577.0,582.8,556.2,561.2,564.5,566.9,5646362,320095084900000.0,90190,2044260,0.36200000000000004
2022-07-01,JSWSTEEL,EQ,564.5,556.55,580.5,556.55,577.5,578.85,569.34,3737790,212808180305000.0,49736,766441,0.20510000000000003
2022-07-04,JSWSTEEL,EQ,578.85,562.1,568.75,544.2,551.25,551.5,551.06,6026463,332093191325000.0,82428,1107314,0.1837
2022-07-05,JSWSTEEL,EQ,551.5,555.5,564.0,550.6,553.35,552.65,557.85,3562565,198737583350000.0,53896,647902,0.1819
2022-07-06,JSWSTEEL,EQ,552.65,548.0,557.3,541.0,556.1,554.55,548.32,3281658,179939460330000.0,54687,361103,0.11
2022-07-07,JSWSTEEL,EQ,554.55,560.55,578.0,551.6,576.5,574.6,564.78,4952962,279734979275000.0,53764,1529695,0.3088
2022-07-08,JSWSTEEL,EQ,574.6,580.0,581.1,562.55,566.0,566.2,568.66,3313755,188441006545000.0,54141,708344,0.2138
2022-07-11,JSWSTEEL,EQ,566.2,564.0,591.35,561.1,576.1,577.3,578.5,4900994,283523453980000.0,60392,922315,0.1882
2022-07-12,JSWSTEEL,EQ,577.3,573.9,581.45,563.5,572.1,574.45,572.11,3425619,195984289830000.0,44344,234159,0.0684
2022-07-13,JSWSTEEL,EQ,574.45,575.55,593.75,574.6,587.6,588.6,585.27,4569908,267465149610000.0,59721,733990,0.1606
2022-07-14,JSWSTEEL,EQ,588.6,589.0,591.45,574.25,583.8,584.0,582.03,4660656,271262593285000.0,57706,735047,0.1577
2022-07-15,JSWSTEEL,EQ,584.0,582.0,584.0,569.35,576.5,576.4,577.08,3051005,176066154500000.0,36981,393221,0.12890000000000001
2022-07-18,JSWSTEEL,EQ,576.4,582.9,592.0,578.0,584.65,585.95,586.94,3583550,210331588350000.0,40516,1145919,0.31980000000000003
2022-07-19,JSWSTEEL,EQ,585.95,580.85,589.6,577.4,584.3,584.85,585.24,3586372,209887186620000.0,39881,1274324,0.3553
2022-07-20,JSWSTEEL,EQ,584.85,595.5,599.95,587.0,589.0,590.35,593.02,4550328,269843118919999.97,52480,1447775,0.3182
2022-07-21,JSWSTEEL,EQ,590.35,589.9,595.9,585.05,589.0,587.55,591.17,3773423,223072891415000.0,42187,1457235,0.3862
2022-07-22,JSWSTEEL,EQ,587.55,588.0,592.55,579.2,582.95,582.45,586.01,4351458,254999780210000.0,54134,1318320,0.303
2022-07-25,JSWSTEEL,EQ,582.45,573.5,588.4,573.5,583.5,585.5,582.53,5783353,336896486775000.0,73681,615594,0.10640000000000001
2022-07-26,JSWSTEEL,EQ,585.5,584.0,599.65,581.6,595.8,597.75,591.52,6031921,356802612225000.0,70260,1764383,0.2925
2022-07-27,JSWSTEEL,EQ,597.75,596.0,603.8,590.0,603.0,602.7,598.59,2913380,174390866610000.0,47361,368899,0.1266
2022-07-28,JSWSTEEL,EQ,602.7,605.1,626.95,603.05,616.5,616.7,615.59,5104503,314229176345000.0,70734,929944,0.1822
2022-07-29,JSWSTEEL,EQ,616.7,623.0,637.95,620.55,631.0,629.6,631.54,4732970,298906010690000.0,64339,1260860,0.2664
2022-08-01,JSWSTEEL,EQ,629.6,634.6,641.0,628.25,640.15,639.2,634.53,3055387,193872055465000.0,50587,893402,0.2924
2022-08-02,JSWSTEEL,EQ,639.2,637.75,649.95,626.3,648.0,648.7,641.43,3053206,195840866705000.0,55351,794778,0.26030000000000003
2022-08-03,JSWSTEEL,EQ,648.7,650.0,660.8,645.0,652.9,652.8,651.85,4446383,289838565950000.0,69211,861052,0.1937
2022-08-04,JSWSTEEL,EQ,652.8,652.9,673.45,652.9,664.0,664.35,663.95,4705675,312433545095000.0,75936,757341,0.16090000000000002
2022-08-05,JSWSTEEL,EQ,664.35,665.1,674.0,665.0,669.85,667.15,668.96,2455459,164260798150000.0,39498,307373,0.1252
2022-08-08,JSWSTEEL,EQ,667.15,670.5,676.0,662.45,670.2,669.2,669.05,2446698,163695312285000.0,42025,427688,0.1748
2022-08-10,JSWSTEEL,EQ,669.2,672.55,674.8,660.0,670.3,670.1,667.55,3252353,217110728265000.0,58973,786468,0.24180000000000001
2022-08-11,JSWSTEEL,EQ,670.1,673.1,678.3,669.45,672.0,673.6,673.26,3480693,234340077665000.0,46933,1095028,0.3146
2022-08-12,JSWSTEEL,EQ,673.6,673.6,685.0,673.0,678.0,678.2,679.53,3476671,236249342665000.0,49231,1099215,0.31620000000000004
2022-08-16,JSWSTEEL,EQ,678.2,678.0,680.9,670.4,672.5,673.85,674.84,2747244,185394752145000.0,35506,882997,0.3214
2022-08-17,JSWSTEEL,EQ,673.85,672.55,676.45,668.4,672.0,672.6,672.8,2349839,158096838310000.0,39128,911256,0.38780000000000003
2022-08-18,JSWSTEEL,EQ,672.6,670.0,677.75,668.9,674.5,673.4,673.59,1806855,121707822830000.0,30057,482201,0.2669
2022-08-19,JSWSTEEL,EQ,673.4,676.8,676.8,663.1,663.1,664.55,668.47,1961510,131121295780000.0,27223,463043,0.2361
2022-08-22,JSWSTEEL,EQ,664.55,660.9,663.1,641.0,643.4,642.95,650.18,2303053,149740910000000.0,52421,710808,0.3086
2022-08-23,JSWSTEEL,EQ,642.95,642.0,655.0,636.7,654.0,652.85,650.27,1751341,113884898245000.0,39146,269487,0.1539
2022-08-24,JSWSTEEL,EQ,652.85,654.5,657.3,647.0,650.95,651.5,651.26,1781643,116031313234999.98,30304,424833,0.23850000000000002
2022-08-25,JSWSTEEL,EQ,651.5,654.0,659.85,647.05,648.8,648.7,655.01,1525852,99944954260000.0,30330,322217,0.21120000000000003
2022-08-26,JSWSTEEL,EQ,648.7,656.0,670.55,654.0,667.1,667.0,665.44,3070661,204335332980000.0,58501,577473,0.1881
2022-08-29,JSWSTEEL,EQ,667.0,654.0,659.95,642.6,651.0,649.6,647.82,2728484,176756648105000.0,46686,591104,0.21660000000000001
2022-08-30,JSWSTEEL,EQ,649.6,652.85,668.0,651.5,664.1,666.9,662.23,2321586,153741637140000.0,37405,907877,0.3911
2022-09-01,JSWSTEEL,EQ,666.9,655.0,669.8,653.25,661.95,661.6,663.34,2472832,164032078415000.0,44039,924207,0.3737
2022-09-02,JSWSTEEL,EQ,661.6,660.0,669.0,654.0,661.0,661.4,661.73,2022058,133804819209999.98,37068,347220,0.17170000000000002
2022-09-05,JSWSTEEL,EQ,661.4,662.0,683.55,662.0,682.0,681.95,676.7,4930594,333651237785000.0,75258,1203722,0.2441
2022-09-06,JSWSTEEL,EQ,681.95,682.0,687.0,678.5,685.6,684.55,683.05,3295941,225128565975000.0,50232,984393,0.2987
2022-09-07,JSWSTEEL,EQ,684.55,678.0,687.75,675.8,684.35,684.6,682.47,2310672,157695525030000.0,31970,796822,0.3448
2022-09-08,JSWSTEEL,EQ,684.6,687.0,691.1,679.3,684.0,685.35,685.07,1889770,129463089220000.0,29248,741215,0.3922
2022-09-09,JSWSTEEL,EQ,685.35,687.0,701.75,685.1,687.0,686.95,692.1,3953738,273636761665000.0,57850,1070066,0.2706
2022-09-12,JSWSTEEL,EQ,686.95,687.3,694.4,681.45,685.05,686.55,686.52,2582240,177276780970000.0,33056,743977,0.28809999999999997
